"TL","Territory Level and Typology","REG_ID","Region","VAR","Indicator","SEX","Gender","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"2","Large regions (TL2)","SE21","Småland with Islands","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,25.84,,
"2","Large regions (TL2)","SE23","West Sweden","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,68.97,,
"2","Large regions (TL2)","EL51","Eastern Macedonia, Thrace","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,13992,,
"2","Large regions (TL2)","FRD","Normandy","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,29988,,
"2","Large regions (TL2)","HR04","Continental Croatia","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,86.9,,
"2","Large regions (TL2)","PL81","Lublin Province","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,24919,,
"2","Large regions (TL2)","BE3","Wallonia","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,16861,,
"1","Country","LVA","Latvia","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,30.56,,
"2","Large regions (TL2)","NL31","Utrecht","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,1405,,
"2","Large regions (TL2)","NO05","Western Norway","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,47372,,
"2","Large regions (TL2)","NO07","Northern Norway","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,4.48,,
"2","Large regions (TL2)","PL21","Lesser Poland","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,222.84,,
"2","Large regions (TL2)","PL41","Greater Poland","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,29490,,
"2","Large regions (TL2)","ITC2","Aosta Valley","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,3245,,
"2","Large regions (TL2)","ITF1","Abruzzo","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,10810,,
"2","Large regions (TL2)","ITF6","Calabria","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,128.91,,
"2","Large regions (TL2)","ITH3","Veneto","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,282.74,,
"2","Large regions (TL2)","ITI3","Marche","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,163.21,,
"2","Large regions (TL2)","ITI4","Lazio","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,16958,,
"2","Large regions (TL2)","PL52","Opole region","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,9313,,
"2","Large regions (TL2)","PL62","Warmian-Masuria","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,61.36,,
"2","Large regions (TL2)","PT15","Algarve","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,4934,,
"2","Large regions (TL2)","SK01","Bratislava Region","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,2021,,
"2","Large regions (TL2)","ES24","Aragon","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,47458,,
"2","Large regions (TL2)","SE12","East Middle Sweden","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,43.9,,
"2","Large regions (TL2)","SE31","North Middle Sweden","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,63665,,
"2","Large regions (TL2)","CH03","Northwestern Switzerland","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,595.61,,
